,Employee ID,Project ID,Time/Duration,Peer(s) workload,Performance,Missed deadlines,Partly – Job satisfaction,Number of unplanned meetings,Number of meetings organized,Number of meetings participated,Average meeting time per day/week,Time series view of the usage of teams for the purpose of communication or documents,General leave patterns,Sick leave(s),Audio conversation(confidence),Video of the meeting:,Communication(changes present or not),On an office laptop,Periodic employee survey feedbacks,External factors(interference),Personality style
44,fffe33003200380030003900,13,6,2,6,11,Agree,6,4,7.092967917,3.323954332,,6,3,0.6578,0,No,8.971990553,neutral,Often,INFP
45,fffe31003800370038003900,3,4,3,7.5,11,Neither,14,2,3.527387784,0.142746896,36.49911472,8,4,1,,No,8.841513898,neutral,Sometimes,INTJ
46,fffe31003700330031003000,9,7,2,5.852571429,1,Disagree,13,6,9.246815729,3.977374377,2.599973655,6,1,1,,No,11.30145562,positive,Sometimes,INTP
47,fffe31003500330034003700,2,9,4,10,9,Agree,3,5,7.619836002,1.139239199,60.11970702,6,3,0.6799,,No,12.08948865,neutral,NA,ENTJ
48,fffe32003300380035003700,10,5,3,5.852571429,10,Disagree,15,3,9.339380887,1.272058719,15.89997034,2,1,1,,No,10.97702101,positive,NA,INFP
49,fffe3500320032003000,9,6,3,7.7,0,Neither,12,0,2.383854587,4.628272469,53.02474483,8,4,1,,Yes,14.2085444,neutral,Sometimes,ISFJ
50,fffe3900300031003500,2,4,1,6,9,Neither,12,1,10.46853003,3.978113936,68.63813347,2,1,0.6436,,No,12.40924086,neutral,Rarely,INTJ
51,fffe32003700300034003600,15,5,2,7.4,5,Neither,14,6,10.42341744,0.550025703,88.77025387,2,1,0.6764,0,No,11.92388195,neutral,Often,INTP
52,fffe31003500390030003200,7,8,2,6.4,11,Agree,15,2,5.418349817,1.293551969,6.49792351,4,4,0.657,,Don't know,15.9472106,positive,NA,INFP
53,fffe31003500360032003800,3,7,1,5.1,1,Agree,15,1,1.087915503,3.027060607,47.28043603,4,3,1,,Don't know,8.964494291,neutral,NA,ISFJ
54,fffe31003300360038003700,11,5,1,5.6,1,Agree,6,2,0.140879664,4.096433164,39.53127426,4,2,0.7118,0,No,15.59780164,neutral,Never,INTP
55,fffe32003100320039003700,14,7,2,7.4,8,Agree,11,5,8.860549125,1.130623515,28.99947674,4,2,1,,No,14.0500473,neutral,NA,INFP
56,fffe31003200340033003100,15,5,3,6.1,3,Disagree,7,4,2.411353487,0.021554974,26.74002538,2,1,0.6939,0.6939,No,12.45747887,negative,Rarely,INFP
57,fffe33003100340034003900,13,6,2,3.1,15,Agree,9,3,7.28220005,2.213430592,15.89998203,2,1,1,,No,9.043834376,positive,NA,INFP
58,fffe32003100340032003800,3,9,2,8,5,Disagree,8,5,5.29240578,0.236673801,6.003437143,2,1,0.635,,No,9.043013842,positive,Sometimes,ENFJ
59,fffe380030003100,1,9,1,4,1,Disagree,13,2,8.658265991,4.023503071,5.399666997,2,1,0.7007,,No,15.05596802,neutral,NA,INTP
60,fffe3900310031003800,8,7,2,3.6,12,Disagree,4,7,14.07721837,5.350619717,74.1630403,4,2,1,,No,10.57322415,neutral,Often,INTJ
61,fffe3200390030003200,4,6,2,8.7,2,Disagree,11,6,11.28836718,3.21435374,0.74999585,2,1,1,,No,12.05353973,neutral,Sometimes,INFJ
62,fffe3800370031003300,10,7,3,8,8,Strong Disagree,12,2,14.80217532,1.479824421,75.2,2,1,1,1,Yes,12.09363802,negative,Sometimes,INTP
63,fffe3300320030003200,4,2,3,6.8,2,Strong Disagree,6,3,11.21288309,1.143743108,14.83073588,2,1,0.6858,,No,15.89564026,neutral,Never,INFP
64,fffe33003200310034003500,11,8,2,4.9,11,Disagree,5,0,11.63047356,1.209994433,86.89884451,2,1,1,,No,11.3326796,neutral,NA,INFP
65,fffe32003200310030003200,15,7,3,7.9,9,Disagree,9,7,6.283159388,5.469865112,77.49861935,2,1,1,,No,8.792911646,positive,Sometimes,ENTP
66,fffe3300300031003100,13,6.639593909,3,7.6,12,Disagree,7,3,10.22107666,2.822992274,48.95732841,2,1,0.6814,0,Yes,14.73894967,neutral,Sometimes,INTP
67,fffe33003300310030003900,9,7,5,9.2,5,Strong Disagree,5,2,6.636359624,5.198842835,7.232224246,4,2,1,1,No,10.04917935,negative,Often,ISFP
68,fffe31003200340034003500,1,7,4,6.5,2,Neither,10,6,3.73406207,3.192709865,9.196775477,2,1,1,0.6789,Don't know,8.192538954,negative,Sometimes,ENFJ
69,fffe32003400320036003200,6,7,3,6.8,6,Strong Disagree,15,4,4.406561489,4.786361659,26.29725148,4,2,0.6922,,Don't know,14.14399679,positive,NA,INFJ
70,fffe3600330031003200,8,6,4,8.7,3,Strong Disagree,3,3,10.14388473,3.445197585,82.52689791,4,2,1,1,No,13.73763223,negative,Rarely,ENFJ
71,fffe31003300330034003700,8,6,2,6.2,11,Agree,6,1,9.084662648,2.873583431,9.549930701,4,2,1,,No,14.89090321,neutral,Never,INFJ
72,fffe3600330032003400,12,5,3,5.8,1,Disagree,15,0,7.695556622,1.958267509,65,4,2,0.6492,0,Don't know,11.89719357,neutral,Never,INFP
73,fffe3500300037003900,6,5,2,6.6,9,Neither,15,0,13.40135038,4.285991242,44.57007444,4,2,1,,No,8.052712465,neutral,Rarely,ENFP
74,fffe33003400360037003500,6,6,4,8.2,6,Disagree,9,8,7.61082145,1.244344374,63.84915272,4,2,1,0.3516,No,15.73152277,negative,NA,ISTP
75,fffe32003500310039003700,15,7,2,4.9,8,Neither,8,4,4.73021845,4.175043029,33.61668288,2,1,1,,Yes,14.84613261,positive,Never,INFJ
76,fffe32003600370032003500,5,6,1,4.1,12,Disagree,8,7,13.37719978,5.765728102,,2,1,1,,No,13.89883062,positive,NA,INTP
77,fffe3200350037003200,15,8,3,7.4,11,Strong Agree,15,1,11.91057585,1.238651922,,4,2,1,,Yes,13.62365655,neutral,NA,INTJ
78,fffe3800390036003200,11,6,0,5.852571429,5,Disagree,3,4,14.18066794,3.50875514,10.49994819,9,5,1,,No,14.28487914,neutral,Sometimes,INTJ
79,fffe3400390032003600,4,6,1,4.4,7,Strong Agree,10,8,5.490600205,2.853687803,0.999958926,6,2,1,1,No,8.147035047,negative,Sometimes,INTJ
80,fffe33003300360032003700,11,7,2,6.9,0,Agree,15,3,12.1295681,5.182211129,2.450362244,4,3,1,,Don't know,15.84791087,neutral,Never,INFP
81,fffe32003600360039003700,11,6,1,5.3,5,Strong Disagree,7,3,7.258977824,0.106259156,29.87992146,2,1,1,1,No,10.27864474,negative,Sometimes,INFP
82,fffe3200360031003700,11,6,2,4.3,0,Neither,6,4,0.251810308,3.663248339,8.370206884,8,4,1,,Yes,11.54975737,positive,Never,INFJ
83,fffe33003300350036003100,12,5,0,0.8,7,Strong Disagree,9,7,5.334465307,1.621243921,11.09076463,2,1,0.6792,0.3477,No,10.22923774,negative,Never,ENTP
84,fffe31003600360039003900,8,8,2,2.9,5,Neither,4,8,12.53008274,0.406725978,71.84912394,2,1,1,1,Yes,12.7853114,negative,Often,ENTJ
85,fffe31003500340038003100,10,8,1,5,9,Disagree,9,8,7.879700417,0.768564767,65.16325092,2,1,1,1,No,10.54262686,negative,Never,INFP
86,fffe32003400320034003800,6,6,1,6.9,1,Agree,3,8,14.63870524,5.032972144,95.63811321,2,1,1,1,No,11.40078999,negative,NA,INTP
87,fffe31003300310036003300,10,9,3,4.7,11,Strong Disagree,8,5,0.960887689,1.457049636,7.499995878,2,1,0.6705,0,No,9.286867658,neutral,Often,INFP
88,fffe33003100300031003200,1,5,1,2,12,Neither,3,8,11.5235572,4.304471926,9.900038672,2,1,1,,No,11.97808915,neutral,Rarely,ISFJ
89,fffe31003300310037003900,1,6,2,5.4,2,Neither,3,0,9.332508005,2.766057224,13.00011072,4,2,0.6545,0,No,11.88326775,neutral,Sometimes,ISTJ
90,fffe3300300036003900,6,8,2,6.1,4,Neither,11,3,9.421629411,4.633193225,2.471948347,2,1,1,0.6513,No,12.68366847,negative,NA,INTP
91,fffe3300360039003000,4,7,1,5.1,3,Disagree,7,6,1.960177582,3.566146264,69.77039441,2,1,1,,Yes,9.276098596,neutral,Never,ENTP
92,fffe3500340030003800,8,6.639593909,1,3.8,10,Agree,7,8,6.478140907,1.73329627,65.38778594,4,2,0.6639,0,No,9.447589145,neutral,Sometimes,INTP
93,fffe3800390038003000,1,7,4,5.852571429,11,Disagree,8,1,2.12904613,0.613620357,53.7402166,4,2,1,1,No,9.337249823,negative,NA,ISFP
94,fffe31003500310038003800,13,9,3,4.7,9,Strong Disagree,8,6,11.83334216,2.914670114,26.47722324,4,2,1,1,No,8.268346222,negative,NA,ENFJ
95,fffe340035003800,15,8,3,5.4,8,Disagree,3,0,9.283723705,4.334375888,77.63853515,6,3,0.6765,0,No,8.812720936,neutral,Sometimes,INFJ
96,fffe31003700300036003800,8,7,4,9.1,11,Disagree,11,6,13.6079192,2.453817722,38.88120159,4,2,1,0.6863,No,13.17506519,negative,Never,INFP
97,fffe32003900320033003900,7,7,1,5,12,Disagree,8,2,6.176254268,4.232950209,33.38212816,4,2,1,0.6771,No,14.284177,negative,Rarely,INFJ
98,fffe380031003300,10,7,1,0,0,Disagree,9,5,7.258792644,5.844530023,25.8997967,2,1,1,0.659,No,9.371773119,negative,Sometimes,INTJ
99,fffe33003200330030003500,14,6,2,4.3,12,Agree,8,1,9.498104827,0.232619183,8.95914,2,1,1,0.6714,No,15.43928375,negative,Sometimes,INFJ
100,fffe33003300390037003700,3,7,2,6.7,3,Disagree,7,5,2.71348117,4.612909646,,2,1,1,1,No,15.0455434,negative,Often,ENFP
101,fffe31003500380034003100,2,7,2,5.7,9,Strong Disagree,12,6,2.319305867,4.10274614,82.515928,9,5,1,,No,9.433409724,neutral,Sometimes,INFP
102,fffe32003500370036003100,3,8,4,6.8,12,Neither,3,2,10.40598606,1.051103653,38.26023355,6,3,1,0.6882,Don't know,13.01310211,negative,Never,INFP
103,fffe33003200300033003500,3,7,3,7.6,10,Disagree,14,4,9.467806864,4.155220532,19.58231645,4,2,1,,Don't know,9.641482604,neutral,NA,ENFP
104,fffe32003500370037003600,4,6,3,8.3,11,Disagree,10,0,2.040657411,3.853438453,6.999880342,2,1,0.6925,0.3521,Yes,10.16400573,negative,Sometimes,INFJ
105,fffe32003400380030003100,8,8,1,5.5,2,Disagree,15,8,11.11999483,1.080886039,71.51472354,2,1,1,0.3486,Yes,9.928219213,negative,Never,ISTP
106,fffe32003800330033003400,4,6,1,5.3,9,Disagree,7,0,11.99340948,5.279174842,31.00437828,2,1,1,,No,8.041900864,positive,Rarely,INFJ
107,fffe32003500360037003200,8,6,3,8,11,Disagree,8,6,3.847787321,3.790578517,3.860565398,2,1,1,1,No,12.13351656,negative,Sometimes,ISTJ
108,fffe31003700350033003000,11,7,4,6.4,15,Neither,14,8,10.75911054,5.804888364,7.000213821,2,1,1,0.6366,No,14.97610092,negative,Rarely,ENFJ
109,fffe3900300032003700,1,8,1,3.6,6,Agree,9,6,4.431005539,4.629144593,14.00024673,2,1,0.6593,0,No,9.658645211,neutral,Never,INTP
110,fffe3400320031003800,8,7,2,7,7,Neither,11,6,10.18295817,3.19533041,80,2,1,0.6823,0,Yes,12.52481805,positive,Sometimes,INTJ
111,fffe3300360035003600,5,6,3,7.6,2,Strong Disagree,12,2,3.059827552,2.35570302,62.81190001,2,1,1,,No,10.3487952,neutral,Sometimes,ENTP
112,fffe31003900360033003300,6,7,2,8.7,4,Strong Agree,9,0,5.855788231,5.379286161,90.07952663,4,2,0.6806,,Yes,10.92676799,positive,Sometimes,INFP
113,fffe32003800300036003600,14,7,0,2.6,8,Neither,10,5,11.75253351,4.377103557,56.76408235,8,4,0.6529,,No,13.28356242,neutral,Rarely,INFP
114,fffe31003900310039003200,11,8,2,4.7,10,Disagree,3,5,14.10618466,2.74334844,51.91418432,2,1,0.678,,No,9.77724881,positive,Never,ESTP
115,fffe3400390037003700,4,6,2,6.4,12,Neither,7,3,1.151928552,4.559731853,1.699985145,2,1,0.3482,0,No,10.98222198,positive,NA,ISTP
116,fffe31003600300039003700,13,6,2,5.8,1,Strong Disagree,4,8,2.343867497,2.31904293,2.259975885,4,2,1,1,No,10.88496923,negative,Never,ENFP
117,fffe33003100380034003500,10,7,1,3.3,2,Disagree,5,7,2.859895353,0.025048283,56.3000337,4,2,1,,No,13.3157869,positive,Often,ENTP
118,fffe3800380039003400,8,7,2,5.9,14,Disagree,12,7,6.549726935,0.249279387,28.28970095,2,1,1,,Yes,14.9253711,positive,Rarely,INTP
119,fffe31003500390038003000,13,7,2,7.8,3,Disagree,6,0,6.642999084,3.088053787,2.699966448,2,1,1,,No,10.96389434,positive,Rarely,INFJ
120,fffe3600310036003700,1,7,1,7,4,Neither,8,3,5.432911468,2.079252644,63.07799279,8,4,1,,No,14.29027992,positive,NA,ENFP
121,fffe3800390030003800,4,7,4,7.2,2,Disagree,13,4,10.38830193,3.348281357,,4,2,0.6832,0.3773,No,13.15961464,negative,Never,ENTP
122,fffe3300390033003100,13,4,3,7.9,6,Agree,5,0,5.578568134,2.965211739,,4,2,1,0.6767,No,9.50443763,negative,NA,INTP
123,fffe3900330037003500,10,6,3,5.852571429,15,Strong Disagree,15,7,5.305456069,1.562318459,2.999803179,2,1,1,0.6527,Don't know,9.715383743,negative,Sometimes,INFJ
124,fffe31003400350030003200,6,10,1,5.9,4,Agree,7,2,9.873709919,0.927087665,28.7318835,4,2,1,,No,8.04462439,positive,Often,ISTP
125,fffe3300360038003700,10,7,1,4.4,13,Disagree,9,2,12.3858429,3.852419854,31.05001287,2,1,1,,No,10.77333601,positive,Never,INTP
126,fffe32003400390034003500,8,7,2,5.2,5,Agree,8,8,11.82509266,2.809409166,20.01153153,9,5,1,,Yes,11.59838804,neutral,Never,INTJ
127,fffe33003100300035003600,12,8,2,5.3,5,Agree,12,6,5.085066486,4.019566037,40.1222347,8,4,0.6703,0.6703,No,9.807338183,negative,NA,ENTP
128,fffe31003900380032003800,13,7,3,5.852571429,3,Strong Agree,8,2,9.952715633,0.857688701,,2,1,1,,No,9.744373375,positive,Rarely,INFJ
129,fffe3900340036003300,1,8,4,5.852571429,15,Disagree,10,6,5.503555954,0.241231285,12.90000468,8,4,1,,No,12.18132577,neutral,Sometimes,INFJ
130,fffe31003900300036003900,13,6,4,8.9,10,Disagree,9,1,13.55307758,0.324750481,51.95803797,2,1,0.6535,0,No,10.95612622,neutral,Sometimes,INFJ
131,fffe31003600300030003000,2,8,3,5.2,2,Neither,13,6,2.960432333,0.834068426,49.00063184,2,1,1,0.6448,No,13.15144205,negative,Sometimes,ENTJ
132,fffe390031003100,3,9,2,4.5,0,Agree,8,1,0.215361832,1.258791412,4.170136385,4,2,1,1,No,10.0655887,negative,Rarely,ISFJ
133,fffe31003300380039003700,14,8,2,6.6,13,Neither,15,5,0.056196944,3.53582897,,2,1,1,,Don't know,11.92071938,neutral,Never,INFP
134,fffe32003700390032003000,2,2,3,3.8,14,Disagree,9,6,5.538512928,2.912973149,6.500822821,2,1,1,0.6875,No,9.46498247,negative,NA,INFJ
135,fffe32003000300035003100,8,4,3,7.6,7,Agree,13,7,9.927147,4.286617257,,2,1,1,1,No,15.65337888,negative,Never,INTP
136,fffe33003400340033003100,2,5,1,5.852571429,6,Neither,3,7,6.743812464,1.832763171,7.930096349,2,1,1,1,No,13.80016095,negative,Never,INFJ
137,fffe32003200360039003000,6,7,3,5.6,3,Disagree,13,8,0.261107282,1.314365131,90.70355509,2,1,1,,No,8.00435725,positive,Never,INFP
138,fffe3900380037003500,6,5,1,5.4,12,Neither,12,1,3.585562884,1.43812227,,4,2,1,,No,10.9828389,neutral,Often,INTP
139,fffe31003300380033003700,3,7,1,4.9,13,Agree,7,7,13.39695861,4.451836576,,4,2,0.7011,,No,9.788488333,positive,NA,INFP
140,fffe33003000340037003600,12,6,2,7.3,1,Agree,9,3,4.972789378,0.797650425,83.00258425,8,4,1,1,Don't know,14.45040187,negative,NA,ISFP
141,fffe32003600370033003700,9,6,2,5.6,8,Strong Agree,9,1,9.5642928,5.322786008,9.998554154,6,3,0.6543,0.3562,Don't know,10.1767733,negative,Sometimes,INTP
142,fffe3600320032003900,2,7,3,5.7,13,Disagree,6,5,4.873636715,4.361947856,0.829997485,4,2,1,,Yes,12.84718485,positive,Sometimes,INFP
143,fffe31003100360037003000,8,9,4,7.8,11,Disagree,9,2,14.76133545,5.480295934,28.43003266,4,2,0.355,0,Don't know,13.7452365,neutral,Never,ENFP
144,fffe3400330035003800,10,8,4,6.7,6,Disagree,8,6,9.898855364,0.815998369,,2,1,0.6889,0.6889,Don't know,8.806462521,negative,NA,ENFP
145,fffe3600380039003200,7,8,1,6.5,7,Agree,11,4,8.076154665,4.000538754,93.27750793,2,1,1,,No,13.3439368,positive,NA,ENTP
146,fffe31003700330032003400,8,6,0,1.8,9,Agree,12,6,2.831050431,2.431188516,61.98741286,2,1,1,1,Yes,9.445642666,negative,Rarely,INFJ
147,fffe32003900320030003300,9,6,3,8.1,9,Neither,11,3,4.270805041,4.232904014,16.78003702,2,1,0.679,0.3684,No,8.545423058,negative,Never,INFJ
148,fffe32003600370036003700,13,7,2,6.9,0,Disagree,6,6,6.891134495,5.437441568,,2,5,1,,No,8.74214203,positive,Sometimes,ENTP
149,fffe3500320039003100,6,7,3,6.4,13,Disagree,8,7,14.27000192,1.23188262,42.74781206,2,1,1,,Yes,10.27229667,positive,Rarely,INFP
150,fffe33003400300034003600,10,7,3,7.2,0,Strong Agree,11,8,5.815876934,3.027302012,1.280049647,2,1,1,0.6501,No,14.98925709,negative,NA,INFP
151,fffe3400350037003000,14,9,2,8.6,15,Neither,8,8,14.96870485,2.188162393,19.80168119,2,1,1,1,No,11.19523521,negative,NA,INTP
152,fffe32003800370034003800,1,5,2,5.852571429,14,Agree,5,3,3.469723383,4.10496445,34.30060399,8,4,1,,No,8.991066967,neutral,Never,INFJ
153,fffe31003500390039003000,5,7,4,9.5,5,Agree,9,6,9.315068031,1.8859918,24.99994585,2,1,1,,No,15.90324289,positive,Rarely,ENFP
154,fffe31003300330030003000,7,8,2,6.8,9,Agree,10,1,2.969635156,4.474785208,62.47123013,6,3,1,,Don't know,11.23295083,neutral,Never,ENFP
155,fffe31003100370035003400,10,7,2,6.5,13,Neither,8,7,11.4437649,3.056572523,51.2804784,8,4,0.6732,0,Yes,11.84586395,neutral,Rarely,INTP
156,fffe3100360037003800,10,5,2,3.5,5,Agree,11,4,3.616179702,3.147752569,42.69233477,4,2,1,,No,12.01166893,neutral,Sometimes,ENTP
157,fffe3500390039003700,3,6,2,4.8,6,Disagree,13,2,11.15627365,1.564074964,81.59039727,6,3,1,,No,14.79497531,neutral,Sometimes,INTJ
158,fffe33003400350037003000,8,4,3,7.6,5,Agree,10,7,2.344065747,0.321693072,,6,3,1,0.6983,No,15.37848297,negative,Often,INTP
159,fffe3300340033003900,1,7,3,6.2,6,Strong Disagree,13,7,9.304470132,2.421196454,40.02009488,2,1,0.6593,0.6593,No,8.709849672,negative,Rarely,ENTP
160,fffe32003800380038003500,15,9,3,3.6,0,Neither,5,7,14.16451076,4.848671417,43.36649772,2,1,1,0.6556,No,13.0934067,negative,Sometimes,ENFP
161,fffe31003700380039003600,11,5,3,8,1,Disagree,8,0,1.83450591,5.085502841,13.00000612,2,1,1,0.3571,Yes,15.00487097,negative,Sometimes,ESTP
162,fffe32003600360038003400,5,6,3,6,12,Disagree,13,0,5.329874811,2.75848377,76.58753846,4,2,1,1,No,9.731759739,negative,Sometimes,INTJ
163,fffe31003000340032003700,8,4,1,3.8,11,Neither,7,8,12.73626713,0.793088133,40.06137931,2,1,1,1,No,12.11377371,negative,Never,INTP
164,fffe3300380034003600,10,5,1,2.4,6,Neither,4,1,0.622661288,4.714249697,,2,1,0.6517,0.3371,No,11.76579013,negative,Rarely,ENTP
165,fffe32003200320034003000,6,8,1,4.3,8,Strong Disagree,9,5,3.100634351,1.345792575,6.965038043,2,1,0.68,0.35,Yes,13.59535499,negative,Sometimes,INFP
166,fffe31003100380033003600,2,7,1,3.7,13,Disagree,14,7,8.556223335,4.962888893,,4,2,1,0.7002,No,11.52756363,negative,NA,INFJ
167,fffe32003800310031003100,1,5,2,5.852571429,9,Agree,4,5,3.776617422,1.104123006,18.79511364,6,3,1,,No,8.517287484,neutral,Never,INFJ
